id,created_at,edit_history_tweet_ids,text,clean_text
1.5225227524937933e+18,2022-05-06 10:24:45+00:00,['1522522752493793282'],"@ewangibbs Agree, and it’s geographically concentrated on the affluent urban fringes and old money rural areas",agree geographically concentrated affluent urban fringe old money rural area
1.522522230642643e+18,2022-05-06 10:22:41+00:00,['1522522230642642945'],@ewangibbs Especially in swathes of the south / south west outside cities where they are the de facto opposition . Tory / Whig territory .,especially swathe south south west outside city facto opposition tory whig territory
1.522521035379196e+18,2022-05-06 10:17:56+00:00,['1522521035379195904'],"@ianfarquharson8 @NORBET @skwawkbox Cumbria? Sunderland ? Derby? Chorley? Less good for them   them in Hull, Hartlepool, Sheffield, Barnsley and the most brexity bits of the Midlands",cumbria sunderland derby chorley good hull hartlepool sheffield barnsley brexity bit midland
1.5225168798137876e+18,2022-05-06 10:01:25+00:00,['1522516879813787648'],Vote Tory for endless culture wars ( which go down like a bucket of sick in the blue wall) https://t.co/7ku21LGcwt,vote tory endless culture war like bucket sick blue wall
1.522516644534362e+18,2022-05-06 10:00:29+00:00,['1522516644534362113'],It’s 1973 and Johnson is weak like Heath with much less integrity. Facing major blow ups like oil crisis/ 3  day week/ common market decision. But Starmer needs a sharper offer and to enthuse the base. be forward looking/offer big solutions on economy/climate/ public services https://t.co/ez8Y8OJtzW,johnson weak like heath much integrity facing major blow ups like oil crisis day week common market decision starmer need sharper offer enthuse base forward lookingoffer big solution economyclimate public service
1.5225128475944796e+18,2022-05-06 09:45:24+00:00,['1522512847594479616'],"@DJT1Million @jnewshamwriter @paulmasonnews It’s a mixed picture fir Lab in northern England - stunningly good performance in the new Cumbria unitary authority, holding on in the NE but being hounded by greens/others — v low turnout everywhere though. Tory voters staying at home",mixed picture fir lab northern england stunningly good performance new cumbria unitary authority holding hounded greensothers low turnout everywhere though tory voter staying home
1.522427221624959e+18,2022-05-06 04:05:09+00:00,['1522427221624958977'],"ok... calling it a night, Robert Jenrick is just too offputting. grounds for cautious optimism for lots of different political actors in this set of results, but turnout fairly low. Still think we have a decent chance of a Lab-led hung p'ment in 2024/5, &amp; that would be good.",calling night robert jenrick offputting ground cautious optimism lot different political actor set result turnout fairly low still think decent chance labled hung p'ment amp would good
1.5224229693263503e+18,2022-05-06 03:48:15+00:00,['1522422969326350336'],London substantially voted Remain...except in its outer extremities https://t.co/PCb5JAz1Mt,london substantially voted remainexcept outer extremity
1.5224220121106432e+18,2022-05-06 03:44:27+00:00,['1522422012110643202'],another brick in the blue wall removed -- Eastleigh used to be a safe LibDem parliamentary seat https://t.co/3rnNAWjuYk,another brick blue wall removed eastleigh used safe libdem parliamentary seat
1.5224145197373727e+18,2022-05-06 03:14:41+00:00,['1522414519737372672'],@RupaHuq @Ealing_Tories @EalingLabour @EalingCouncil Excellent!!! :),excellent
1.5224107923264184e+18,2022-05-06 02:59:52+00:00,['1522410792326418433'],"Nice to see a bit of honesty from Barry Rawlings, the Labour leader in Barnet - making a point that it's not just about Labour success/Lab voters turning out, there have been big Tory abstentions because of the lamentable @BorisJohnson",nice see bit honesty barry rawlings labour leader barnet making point labour successlab voter turning big tory abstention lamentable
1.5224097018829332e+18,2022-05-06 02:55:32+00:00,['1522409701882933250'],"""I just love the poorly educated..."" said Donald Trump https://t.co/u9HRlXdtKh",love poorly educated said donald trump
