,username,name,id,description,created_at,tweet_count,public_metrics
11,louisesage86,Louise Sage,213026349.0,"Neonatal nurse, Mum of 2 gorgeous boys. Lover of the Scottish islands",2010-11-07T19:14:20.000Z,,
12,natashapunc22,natashastudentpunc22,1.5746944045977313e+18,I have worked in healthcare for many years but now working towards becoming a registered nurse.,2022-09-27T09:36:32.000Z,,
13,imogenlkx,immy🧚🏻,9.754833155527516e+17,🪩🦖☕️🍄💿 baby nurse in training,2018-03-18T21:25:20.000Z,,
14,Jorobson695,Jo Robson,1.5773455245622804e+18,"MTNC Coordinator, nurse, mam, sister, aunty, friend, swimmer, opinions are my own,",2022-10-04T17:15:59.000Z,,
15,thedistrictnur1,thedistrictnursemumvanlife,1.554715943535788e+18,"A District nurse Mum & family sharing our camper van adventures with you all.
21 years in NHS. SPDNQ BSc. PNA.",2022-08-03T06:29:09.000Z,,
16,FryattJen,Jen Fryatt,1.1067993507626108e+18,Renal nurse and greyhound obsessed.  Music in the soul can be heard by the universe ~ Lao Tzu,2019-03-16T06:08:23.000Z,,
17,KathleenDaddona,Kemdadd,1.509464239253164e+18,Go fund me road to recovery for my daughter who suffered a severe brain injury due to a drunk driver. She was set to Graduate in May 2022 as a nurse.Much love.,2022-03-31T09:35:17.000Z,,
18,hopeayana2017,alubarika vine,1.3907824588666716e+18,passionate nurse,2021-05-07T21:36:03.000Z,,
19,GlobalNursesU,Global Nurses United,1539831812.0,"We are registered nurses & health care workers who are united to fight austerity, attacks to our professions, our communities worldwide & our environment.",2013-06-23T00:59:28.000Z,,
20,copleym1982,Mike,21715750.0,"Lost in LS13, Dad as of 11/17, Olivia ❤️. Partial to Family, Rangers, music and life. Depression sufferer. On route to being a nurse! 🤞Philadelphia sports fan",2009-02-24T01:16:48.000Z,,
21,lilyhowarth,Lil🧚🏻‍♀️,1028923322.0,22 | UEA | Final year student mental health nurse🩺 President of UEA Headucate 2022/2023🧠,2012-12-22T17:26:59.000Z,,
22,beckybarnsley,Rebecca Barnsley,1.5627729620584653e+18,registered nurse associate and freelance writer,2022-08-25T12:04:49.000Z,,
23,WildeKinsey,Kinsey wilde,1.5721528327902413e+18,Living a wilde life ❤️ student nurse 👩‍⚕️🩺,2022-09-20T09:17:08.000Z,,
24,Gemapf85,Gema Palomo,1.549878763449684e+18,1st Year student nurse 💓👩🏻‍⚕️,2022-07-20T22:08:33.000Z,,
25,dyani_cobern,Dyani Cobern,1.5917868846022533e+18,Student child nurse 01/22 💜,2022-11-13T13:35:57.000Z,,
26,JennaWilkes2,Jenna Wilkes,1.5918341553687265e+18,mama 💜 trainee neonatal nurse practitioner 💜 all views are my own 💜,2022-11-13T16:43:41.000Z,,
27,louedd,Louise,49539862.0,"I am a coffee addict,gin lover,alice in wonderland obsessed, life long Everton supporter and hard working mental health nurse! 💙",2009-06-22T04:47:39.000Z,,
