id,created_at,edit_history_tweet_ids,text,withheld,clean_text
1.428781252652544e+18,2021-08-20 18:09:30+00:00,['1428781252652544009'],i too would like to do this https://t.co/GUfTIiQ5eO https://t.co/YJu4Jr1ctv,,would like
1.4282109297670103e+18,2021-08-19 04:23:15+00:00,['1428210929767010304'],come and ease my miiiinnnd @amnija_ https://t.co/kmT4seeSHf,,come ease miiiinnnd
1.428103526224388e+18,2021-08-18 21:16:28+00:00,['1428103526224388103'],@IAMNJERA they were all so cool,,cool
1.4262957730928804e+18,2021-08-13 21:33:06+00:00,['1426295773092880388'],@Mankaprr the run you are on 🔥,,run
1.4262937167513682e+18,2021-08-13 21:24:55+00:00,['1426293716751368192'],we need the scientific papers for this…only shared among us tho https://t.co/Fxl6lxhD2b,,need scientific paper thisonly shared among tho
1.4241094438773228e+18,2021-08-07 20:45:24+00:00,['1424109443877322753'],"once again, @mousesucks has made one of my favorite songs for the year and i can’t wait for y’all to know about it",,made one favorite song year cant wait yall know
1.4237303361486234e+18,2021-08-06 19:38:58+00:00,['1423730336148623360'],@themonaleo @WeAreIvyPark i knew that was you!! 💫,,knew
1.4236618640645898e+18,2021-08-06 15:06:53+00:00,['1423661864064589828'],imagine if they all performed their rap city freestyles the other night…,,imagine performed rap city freestyle night
1.4233792105094597e+18,2021-08-05 20:23:43+00:00,['1423379210509459456'],you could clip at least five memes from this video 😂 https://t.co/7ljXCnHBKe,,could clip least five meme video
1.4233705334549914e+18,2021-08-05 19:49:14+00:00,['1423370533454991367'],mannn @ItsLebraJolie keep coming thru with heat 🔥 https://t.co/vdxPgQ0Ggt,,mannn keep coming thru heat
1.4233669665349345e+18,2021-08-05 19:35:04+00:00,['1423366966534934531'],gotta rt this every time you see it on the tl https://t.co/yBN3oYhmY2,,gotta every time see
1.422825920260358e+18,2021-08-04 07:45:08+00:00,['1422825920260358145'],shoulda known it was defeat when juelz pulled up with the love &amp; hip hop denim https://t.co/JsqiFvSo7p,,shoulda known defeat juelz pulled love amp hip hop denim
1.422746785823568e+18,2021-08-04 02:30:41+00:00,['1422746785823567872'],they really in the front of the building with the energy 😂,,really front building energy
1.4224553510106317e+18,2021-08-03 07:12:38+00:00,['1422455351010631680'],y’all courageous and audacious #fleetnik,,yall courageous audacious
1.4211936526809416e+18,2021-07-30 19:39:05+00:00,['1421193652680941572'],"@thejordansphere same iconic feeling when you hear kim open with ""yo shorty won’t you go get a bag of the lethal"" on crush on you",,iconic feeling hear kim open shorty wont get bag lethal crush
1.4211903598587494e+18,2021-07-30 19:26:00+00:00,['1421190359858749445'],"@amalwtf an artist i’m always starry-eyed for 🤩
so hyped for her new album!",,artist always starryeyed hyped new album
1.4208175552923648e+18,2021-07-29 18:44:37+00:00,['1420817555292364808'],@MarietteMusic always an amazing feeling,,always amazing feeling
1.4204792182663004e+18,2021-07-28 20:20:11+00:00,['1420479218266300417'],@THEK0UNT ooo thanks for the 🧃🧃🧃,,ooo thanks
1.420214398187094e+18,2021-07-28 02:47:53+00:00,['1420214398187094016'],"@Copastetik needed to see this bro, good looks",,needed see bro good look
1.4198165338707515e+18,2021-07-27 00:26:55+00:00,['1419816533870751763'],@heykelechi agreed,,agreed
1.4197467427115622e+18,2021-07-26 19:49:35+00:00,['1419746742711562240'],@wowiwrite haha a gem 💎,,haha gem
1.4197226490564485e+18,2021-07-26 18:13:51+00:00,['1419722649056448514'],got hit with that service fee right after 😂 https://t.co/jVgWyd8YJs,,got hit service fee right
1.418307315430789e+18,2021-07-22 20:29:49+00:00,['1418307315430789126'],@NifMuhammad got me like https://t.co/PKupg709DF,,got like
1.4182454663540367e+18,2021-07-22 16:24:03+00:00,['1418245466354036741'],thought tate and guap being on lhh was a spoof 😳,,thought tate guap lhh spoof
1.41803261198592e+18,2021-07-22 02:18:15+00:00,['1418032611985920010'],"@GNCordova ahh i think about this a lot!

ghostface always come to mind for me",,ahh think lot ghostface always come mind
1.4175567407789097e+18,2021-07-20 18:47:18+00:00,['1417556740778909700'],hey @twitter are y’all working on syncing drafts across devices at all?,,hey yall working syncing draft across device
1.4169585784145633e+18,2021-07-19 03:10:25+00:00,['1416958578414563328'],https://t.co/6ZVEe4ZrWc https://t.co/LuRUM2goZR,,
1.416548057190183e+18,2021-07-17 23:59:09+00:00,['1416548057190182915'],@SUPERbyCope right back to wylin https://t.co/5LQ9rk3fk5,,right back wylin
1.4164687651229573e+18,2021-07-17 18:44:04+00:00,['1416468765122957317'],miss mam right here really got a hold on me https://t.co/cZgdyQkktI,,miss mam right really got hold
1.4164228437478687e+18,2021-07-17 15:41:36+00:00,['1416422843747868672'],@NeverAnother1 empty mind,,empty mind
1.4164155530912154e+18,2021-07-17 15:12:38+00:00,['1416415553091215366'],i thought sza said “i’ve been on my pantomime shxt” https://t.co/KnMTQG44Bx,,thought sza said ive pantomime shxt
1.416102318521606e+18,2021-07-16 18:27:57+00:00,['1416102318521606147'],yo @themonaleo articulates so well in this interview i thought i was listening to an audiobook https://t.co/ZayUuFrN7L,,articulates well interview thought listening audiobook
1.4103769754081157e+18,2021-06-30 23:17:29+00:00,['1410376975408115722'],some of y’all really not embarrassed to be moving out here spineless huh? https://t.co/wT1xazicWc,,yall really embarrassed moving spineless huh
1.409173636703994e+18,2021-06-27 15:35:50+00:00,['1409173636703993857'],@timmhotep great wrestler name too,,great wrestler name
1.4085943705096438e+18,2021-06-26 01:14:03+00:00,['1408594370509643780'],@surrealsermons baddie on an adventure,,baddie adventure
1.4077656526440243e+18,2021-06-23 18:21:01+00:00,['1407765652644024328'],@jacqpfrancois i definitely wanna see this,,definitely wanna see
1.4066175827031e+18,2021-06-20 14:19:00+00:00,['1406617582703099905'],@andreoshea have a 30/30 going with one of the homies. work had me swamped all week but i made sure to do all my entries,,going one homies work swamped week made sure entry
1.4057606730327695e+18,2021-06-18 05:33:56+00:00,['1405760673032769536'],@myabriabe loving the lanes they’re carving out for themselves in addition to writing for others,,loving lane theyre carving addition writing others
1.40495733000183e+18,2021-06-16 00:21:44+00:00,['1404957330001829890'],@NickyChulo prolly helping more than hurting feelings 😂,,prolly helping hurting feeling
1.4042718032966203e+18,2021-06-14 02:57:42+00:00,['1404271803296620547'],currently appreciating how satisfying the ending of #posefx feels. three iconic seasons,,currently appreciating satisfying ending feel three iconic season
1.4037605155628524e+18,2021-06-12 17:06:02+00:00,['1403760515562852357'],"1year 1up 🎮

congrats and keep going https://t.co/rnmUI9yPKl",,year congrats keep going
1.403569246916039e+18,2021-06-12 04:26:00+00:00,['1403569246916038661'],@skyzoo @MelloMusicGroup going thru life watching that corner change 🤯,,going thru life watching corner change
1.4012430153945702e+18,2021-06-05 18:22:23+00:00,['1401243015394570240'],@sammie_scottie @BlacksRuleMag missed the morning but great afternoon ☀️,,missed morning great afternoon
1.40100277580322e+18,2021-06-05 02:27:45+00:00,['1401002775803219976'],@3CC0__ @SUPERbyCope 🤔,,
1.4007635203424297e+18,2021-06-04 10:37:02+00:00,['1400763520342429707'],feel like i should rt this fir good luck https://t.co/QKPC2NI1jv,,feel like fir good luck
1.4006700917721047e+18,2021-06-04 04:25:47+00:00,['1400670091772104705'],@Copastetik @SUPERbyCope you 🤝 the title https://t.co/bGJRIwKq5P,,title
1.400060378906874e+18,2021-06-02 12:03:00+00:00,['1400060378906873860'],why oh why did cj step on that line? https://t.co/mccrS7qQIW,,step line
1.399872312543961e+18,2021-06-01 23:35:42+00:00,['1399872312543961089'],@MiniMcBooom forreal i really want to learn beekeeping,,forreal really want learn beekeeping
1.3994732704375972e+18,2021-05-31 21:10:03+00:00,['1399473270437597192'],fired this up from the beginning the other day https://t.co/lIkbORF6Mb,,fired beginning day
