id,created_at,edit_history_tweet_ids,text,withheld,clean_text,nouns
1.2405451716427284e+18,2020-03-19 07:46:31+00:00,['1240545171642728449'],"Verse of the day
Whoever pursues righteousness and love finds life, prosperity and honor.
Proverbs 21:21 NIV
✝️📖🙏😃
#Verseoftheday #Verseencouragement #proverbs2121 #NIV #2020… https://t.co/R2EupOhjtR",,verse day whoever pursues righteousness love find life prosperity honor proverb niv,day righteousness love life prosperity honor proverb niv 
1.2401693288313774e+18,2020-03-18 06:53:03+00:00,['1240169328831377408'],"Verse of the day
Now all has been heard; here is the conclusion of the matter: Fear God and keep his commandments, for this is the duty of all mankind.
Ecclesiastes 12:13… https://t.co/0X0qmi7yA5",,verse day heard conclusion matter fear god keep commandment duty mankind ecclesiastes,day conclusion matter commandment duty mankind 
1.2398031502546862e+18,2020-03-17 06:38:00+00:00,['1239803150254686208'],"Verse of the Day
You will seek me and find me when you seek me with all your heart.
Jeremiah 29:13 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #Jeremiah2913 #NIV #2020 #2020vision… https://t.co/KO09I98ZVm",,verse day seek find seek heart jeremiah niv,day find heart jeremiah niv 
1.2394397475352904e+18,2020-03-16 06:33:58+00:00,['1239439747535290368'],"Verse of the Day
Blessed are the merciful,  for they will be shown mercy.Matthew 5:7 NIV
✝️📖🙏😃
#Verseoftheday #Verseencouragement #matthew57 #NIV #2020 #2020vision #Bestisyettocome… https://t.co/ywrrqXMdop",,verse day blessed merciful shown mercy matthew niv,day mercy matthew niv 
1.239084451633619e+18,2020-03-15 07:02:09+00:00,['1239084451633618944'],"Verse of the day
And do not forget to do good and to share with others, for with such sacrifices God is pleased.Hebrews 13:16 NIV✝️📖🙏😃
#Verseoftheday #Verseencouragement #Hebrews1316… https://t.co/JQtmfLe8aW",,verse day forget good share others sacrifice god pleased hebrew niv,day share 
1.238949725757485e+18,2020-03-14 22:06:47+00:00,['1238949725757485057'],Enjoyed tonight with amazing people #kintsugiHope #2020 #2020vision #bestisyettocome #Godisgood #GoodnessofGod #MingCooper2020 https://t.co/JcOukmDygA,,enjoyed tonight amazing people,
1.238722101000827e+18,2020-03-14 07:02:17+00:00,['1238722101000826881'],"Verse of the Day
being confident of this, that he who began a good work in you will carry it on to completion until the day of Christ Jesus.
Philippians 1:6 NIV✝️📖🙏😃
#Verseoftheday… https://t.co/wXyslz0CLb",,verse day confident began good work carry completion day christ jesus philippian niv,day work completion day jesus niv 
1.2383609410682757e+18,2020-03-13 07:07:10+00:00,['1238360941068275713'],"Verse of the Day
Then Jesus declared, “I am the bread of life. Whoever comes to me will never go hungry, and whoever believes in me will never be thirsty.
John 6:35… https://t.co/tunl7h361g",,verse day jesus declared bread life whoever come never hungry whoever belief never thirsty john,day jesus life john 
1.2379873470038344e+18,2020-03-12 06:22:38+00:00,['1237987347003834368'],"Verse of the Day
Come near to God and he will come near to you. Wash your hands, you sinners, and purify your hearts, you double-minded.
James 4:8 NIV✝️📖🙏😃
#Verseoftheday… https://t.co/STIlf3eMp6",,verse day come near god come near wash hand sinner purify heart doubleminded james niv,day hand sinner heart 
1.237759094636925e+18,2020-03-11 15:15:39+00:00,['1237759094636924930'],"At My favourite place  @justicecreamuk Having Waffle with Lemon cheesecake and pistachio. Amazing and Delicious 🍦🍽️😃
Keep the good work !!!
#Justice #justiceuk #Ethical #Ethicalicecream… https://t.co/whKYyKYzYc",,favourite place waffle lemon cheesecake pistachio amazing delicious keep good work,place waffle cheesecake pistachio work 
