id,created_at,edit_history_tweet_ids,text,clean_text,nouns
1.103997848478253e+18,2019-03-08 12:36:13+00:00,['1103997848478253057'],Colombians await One Hundred Years of Solitude screen adaptation with joy and fear https://t.co/BbOLhZ3l0c,colombian await one hundred year solitude screen adaptation joy fear,await year solitude adaptation joy fear 
1.1039727876125164e+18,2019-03-08 10:56:38+00:00,['1103972787612516352'],Vodka peruano de papas nativas gana medalla de oro en Londres https://t.co/rFNxTIf6pN,vodka peruano papa nativas gana medalla oro londres,vodka peruano papa nativas gana medalla oro 
1.1039719909422408e+18,2019-03-08 10:53:28+00:00,['1103971990942240768'],Sesame Street: Sofia Vergara - Baile https://t.co/sOQEBpoB3y,sesame street sofia vergara baile,street sofia vergara baile 
1.103961831012528e+18,2019-03-08 10:13:05+00:00,['1103961831012528131'],Sin Ellas - Daniel Habif https://t.co/9lYW3ug7QT,sin ellas daniel habif,sin habif 
1.103959878643712e+18,2019-03-08 10:05:20+00:00,['1103959878643712001'],Netflix to adapt One Hundred Years of Solitude by Gabriel García Márquez https://t.co/YQCNSApv2h,netflix adapt one hundred year solitude gabriel garca mrquez,year solitude gabriel garca mrquez 
1.1039408098820996e+18,2019-03-08 08:49:33+00:00,['1103940809882099714'],Residente Says His Forthcoming Album Will Feature Rubén Blades &amp; Juan Luis Guerra https://t.co/urjEE3LTzo,residente say forthcoming album feature rubn blade amp juan luis guerra,feature rubn juan luis guerra 
1.1039251228413052e+18,2019-03-08 07:47:13+00:00,['1103925122841305089'],"Un apagón masivo deja a media Venezuela sin energía y el gobierno denuncia una ""guerra eléctrica"" https://t.co/DFUu7AbGzD",apagn masivo deja medium venezuela sin energa gobierno denuncia una guerra elctrica,apagn masivo deja medium venezuela sin energa gobierno denuncia guerra elctrica 
1.103922881250046e+18,2019-03-08 07:38:19+00:00,['1103922881250045952'],Watch This Rare 1999 Clip of Mariah Carey Talking About Her Venezuelan Heritage https://t.co/zJmIc5u7az,watch rare clip mariah carey talking venezuelan heritage,watch clip mariah carey heritage 
1.103831704404398e+18,2019-03-08 01:36:01+00:00,['1103831704404398080'],"Un apagón masivo deja a media Venezuela sin energía y el gobierno denuncia una ""guerra eléctrica"" https://t.co/DFUu7AthYd",apagn masivo deja medium venezuela sin energa gobierno denuncia una guerra elctrica,apagn masivo deja medium venezuela sin energa gobierno denuncia guerra elctrica 
1.1038059321342648e+18,2019-03-07 23:53:36+00:00,['1103805932134264832'],"8 March &gt; International womens day @ Calthorpe project. From 12pm. Gardening, live music by Las guadalupes &amp; Phaxsi coca, La Ceci &amp; more... @ The Calthorpe Project https://t.co/vJtMEfXBwR",march international woman day calthorpe project gardening live music guadalupes amp phaxsi coca ceci amp calthorpe project,march woman day project music coca ceci amp calthorpe project 
1.1038041343926232e+18,2019-03-07 23:46:27+00:00,['1103804134392623106'],"Latin traketeo this Friday with Ms Nina​ in a night of female perreo alongside Fedzilla​, Mafe Maracuyeah and Ivicore​. 🔥💋🔥
🚨TICKETs selling fast: https://t.co/KazS3xI06u

#VivalamujerUK @… https://t.co/foILrsMicP",latin traketeo friday nina night female perreo alongside fedzilla mafe maracuyeah ivicore ticket selling fast,traketeo night perreo fedzilla maracuyeah ivicore ticket selling fast 
1.10379608576666e+18,2019-03-07 23:14:29+00:00,['1103796085766660096'],"Maná - Rayando El Sol, Mariposa Traicionera, and Oye Mi Amor Medley https://t.co/7z5Z6f24Ez",man rayando sol mariposa traicionera oye amor medley,man mariposa traicionera oye amor medley 
