,Topic,Count,Name,details
49,48,299,48_birthday_happy_larbados_kyan,"[('birthday', 0.2729418913068678), ('happy', 0.14408638445635633), ('larbados', 0.010930858153112134), ('kyan', 0.010930858153112134), ('happyth', 0.010930858153112134), ('kav', 0.010930858153112134), ('spexy', 0.010930858153112134), ('queeeeeen', 0.010930858153112134), ('saoirse', 0.010930858153112134), ('jacqui', 0.009859201937657294)]"
50,49,294,49_hair_hairdresser_haircut_salon,"[('hair', 0.12349980735410578), ('hairdresser', 0.039359408047014016), ('haircut', 0.02937891745950202), ('salon', 0.022200188282973415), ('curly', 0.014824840918552618), ('blonde', 0.01218893636180985), ('wig', 0.012027118120925924), ('braid', 0.01103568280405527), ('barber', 0.010975767462105783), ('colour', 0.009375224334695826)]"
51,50,294,50_nh_privatisation_private_pay,"[('nh', 0.036704797303835524), ('privatisation', 0.017984574168431133), ('private', 0.0075867543031553466), ('pay', 0.006509197634773111), ('funding', 0.006179709207808898), ('hcp', 0.005139787344114704), ('profiteer', 0.004728979064283994), ('staff', 0.004584291733186231), ('privatised', 0.004502248084186675), ('rise', 0.0044404556741429535)]"
52,51,292,51_done_well_nicely_oo,"[('done', 0.13500102550134752), ('well', 0.0844682078336759), ('nicely', 0.017361746513810516), ('oo', 0.007105108633014787), ('noted', 0.006680304759214995), ('ng', 0.00507929986460059), ('ty', 0.0048537651557591915), ('played', 0.003587875877154388), ('ooh', 0.003056437673198164), ('goodness', 0.0030072780361652457)]"
53,52,291,52_covid_case_covids_restriction,"[('covid', 0.030566602483745826), ('case', 0.005855292458663162), ('covids', 0.0056230102244406764), ('restriction', 0.005612139971227), ('indian', 0.0053564378951015635), ('skeptic', 0.004465284782030812), ('whatcha', 0.004465284782030812), ('recovering', 0.004393141085203737), ('msg', 0.004147741953888842), ('rule', 0.004101134007041033)]"
54,53,287,53_shift_night_pre_hour,"[('shift', 0.07698915587096003), ('night', 0.028384578308651997), ('pre', 0.027779596151664327), ('hour', 0.008511611065283293), ('sleep', 0.007597060172154137), ('shifty', 0.006829522374120503), ('early', 0.005189231940545673), ('row', 0.005182418019937816), ('sleepins', 0.005107493545891429), ('oncall', 0.0047830279668966014)]"
55,54,287,54_refund_parcel_order_ordered,"[('refund', 0.03978746853908745), ('parcel', 0.03948383525959757), ('order', 0.03724107354848805), ('ordered', 0.03156764933776023), ('delivery', 0.02939697543570602), ('cancel', 0.01835518849605162), ('delivered', 0.014465543021314697), ('item', 0.010872651668750948), ('arrived', 0.008953664463901868), ('placed', 0.008505222313583787)]"
56,55,285,55_sausage_pie_soup_salad,"[('sausage', 0.045998832431953254), ('pie', 0.037211497973176876), ('soup', 0.032687423962436006), ('salad', 0.030468197583401285), ('beef', 0.030221747146423665), ('recipe', 0.026623637989446412), ('sauce', 0.02602144781676258), ('oven', 0.022981539548978462), ('fry', 0.022275970425446788), ('pasta', 0.020790905730417007)]"
57,56,285,56_mask_wearing_wear_masked,"[('mask', 0.08495783026667475), ('wearing', 0.03809412441295308), ('wear', 0.022879114241592304), ('masked', 0.011573067527009442), ('carriage', 0.008253425105747359), ('metro', 0.007720877002954634), ('distancing', 0.007473937722928229), ('face', 0.007446413407741315), ('cloth', 0.007159667266906759), ('nose', 0.006143875466909591)]"
58,57,284,57_month_january_june_july,"[('month', 0.03844471720983927), ('january', 0.026377907376599563), ('june', 0.024322055218848716), ('july', 0.022287781884674306), ('march', 0.020667938182210223), ('bookish', 0.01926353320698621), ('april', 0.019159968739072192), ('november', 0.017314702236377013), ('august', 0.01401633990859778), ('february', 0.010470603628858323)]"
59,58,283,58_donate_charity_fundraising_donation,"[('donate', 0.04822177431821767), ('charity', 0.035372756449849684), ('fundraising', 0.03219064094522824), ('donation', 0.02813954624492981), ('fundraiser', 0.014706997109831777), ('donating', 0.013058220685032918), ('sponsor', 0.011113255477685012), ('sponsorship', 0.01073636498727203), ('raise', 0.010727121049526021), ('fund', 0.010693283802892705)]"
60,59,264,59_vote_biden_counted_voting,"[('vote', 0.07854831118277066), ('biden', 0.057117263386332495), ('counted', 0.02811435507662698), ('voting', 0.027812344679936908), ('voted', 0.027704831106677492), ('postal', 0.0235359335935089), ('nevada', 0.021987472244888957), ('wisconsin', 0.021790061353000018), ('michigan', 0.021269184778001105), ('election', 0.01922722306211845)]"
61,60,261,60_chat_prechat_transcript_chatting,"[('chat', 0.07823816065350309), ('prechat', 0.03214356934126131), ('transcript', 0.029321022162643196), ('chatting', 0.019303442120190355), ('tonight', 0.018266479900934763), ('tonights', 0.017541882356517994), ('minute', 0.012538716569978877), ('tuesday', 0.010243277178811908), ('hello', 0.00871372847941061), ('grab', 0.008557045914177167)]"
62,61,258,61_laugh_laughing_joke_funny,"[('laugh', 0.09701914166968431), ('laughing', 0.0615364841399858), ('joke', 0.05670419582347892), ('funny', 0.026073700346267846), ('giggle', 0.025751460046571126), ('laughed', 0.02556854068235501), ('humour', 0.020059943466063098), ('chuckle', 0.016521855543809114), ('cry', 0.012248611884132732), ('joking', 0.010729775019404635)]"
63,62,257,62_medication_drug_prescription_pharmacology,"[('medication', 0.038045303470410796), ('drug', 0.03006207420820827), ('prescription', 0.027091040205673527), ('pharmacology', 0.02486303001750663), ('pharmacy', 0.022244191789651327), ('error', 0.02108872361712687), ('indication', 0.01931308292969389), ('approval', 0.014272532479732692), ('calculation', 0.013416281935965944), ('labeling', 0.012955528070061402)]"
64,63,251,63_suicide_suicidal_prevention_harm,"[('suicide', 0.08606500281447893), ('suicidal', 0.028573818854245085), ('prevention', 0.02572803200815), ('harm', 0.024514677874104177), ('self', 0.018708263435871265), ('selfharm', 0.017779030555867093), ('ideation', 0.01228009607887043), ('attempt', 0.009640172323979889), ('risk', 0.0068295732013270915), ('harming', 0.006226578664353555)]"
65,64,251,64_colour_pink_yellow_blue,"[('colour', 0.09886600207497416), ('pink', 0.07216832154890335), ('yellow', 0.06212816507218371), ('blue', 0.058637192163362564), ('green', 0.033804468859983866), ('purple', 0.02526910047576665), ('color', 0.021847800756576316), ('grey', 0.016635540449848038), ('white', 0.015712529366252958), ('violet', 0.012903658182618585)]"
66,65,249,65_doo_erm_whew_oooo,"[('doo', 0.11815459203091441), ('erm', 0.08782452296395822), ('whew', 0.0852245578013107), ('oooo', 0.06868130993594553), ('ooooooo', 0.06784049335726772), ('da', 0.06734360315276733), ('omo', 0.06147716607477076), ('ohmygosh', 0.057053557895060114), ('aye', 0.05574687347300052), ('doh', 0.05379989918157903)]"
67,66,249,66_beautiful_newport_asap_scrub,"[('beautiful', 0.3712810007617089), ('newport', 0.19559664218149292), ('asap', 0.12068280916053445), ('scrub', 0.11165335026150693), ('tech', 0.09763990603698734), ('certified', 0.09719112597291128), ('shift', 0.03294534383176659), ('alright', 0.007529599296625234), ('day', 0.0060322071949130175), ('product', 0.004721594169745284)]"
68,67,242,67_wa_knew_thinking_expecting,"[('wa', 0.019296385421237634), ('knew', 0.017115954334485494), ('thinking', 0.012227548270481486), ('expecting', 0.011945222634018314), ('thought', 0.01045852849519562), ('surprised', 0.01044732081347478), ('kandy', 0.009920629987113102), ('hopeful', 0.0073240035857890665), ('convinced', 0.007201106970503634), ('confused', 0.0067631048302666955)]"
