Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,nouns
208,208,1.5597309131559035e+18,2022-08-17 02:36:42+00:00,['1559730913155903494'],Watching with the sound down and honesty my skin is still crawling. #Auspol #Morrison #megalomaniac,watching sound honesty skin still crawling,sound honesty skin 
211,211,1.5597280703528468e+18,2022-08-17 02:25:24+00:00,['1559728070352846850'],I see the Christian Windbag has left his curry cooking to lecture us. #Auspol #Morrison #GreedyFucker,see christian windbag left curry cooking lecture,windbag cooking lecture 
213,213,1.559703904681853e+18,2022-08-17 00:49:23+00:00,['1559703904681852929'],Every now and then I remember that my family lost three much loved members to COVID and it’s just beyond sad. That’s all.,every remember family lost three much loved member covid beyond sad thats,family member covid 
222,222,1.5594878308415283e+18,2022-08-16 10:30:47+00:00,['1559487830841528321'],@yodaberg Trust me! I’m a nurse. 😉,trust nurse,trust nurse 
223,223,1.5594864481931796e+18,2022-08-16 10:25:17+00:00,['1559486448193179648'],@yodaberg Yes. Episode 6 is a corker.,yes episode corker,episode corker 
227,227,1.559394917348442e+18,2022-08-16 04:21:35+00:00,['1559394917348442112'],"Watching a cooking show instead of working and they’re making trifle and I really, really want trifle right now.",watching cooking show instead working theyre making trifle really really want trifle right,show theyre 
229,229,1.55938533717205e+18,2022-08-16 03:43:31+00:00,['1559385337172049921'],Let’s flood it with ‘feedback’ and see if they can keep up with the deletions. #Morrison #Auspol https://t.co/f9ssVAPQxY,let flood feedback see keep deletion,flood deletion 
234,234,1.5593508025939558e+18,2022-08-16 01:26:17+00:00,['1559350802593955841'],There's not enough popcorn to deal with this today. #Auspol #Morrison #Unfit #ResignMorrison,there's enough popcorn deal today,deal today 
241,241,1.5591572372552622e+18,2022-08-15 12:37:07+00:00,['1559157237255262209'],@lorrainemking And if they're really lucky they'll have time to drink it before it goes cold.,they're really lucky they'll time drink cold,time 
243,243,1.559062209418117e+18,2022-08-15 06:19:31+00:00,['1559062209418117120'],@TamePunk @yabbie5674 @GreenJ He’s waiting for the eagle to swoop down and rescue him.,waiting eagle swoop rescue,eagle swoop rescue 
244,244,1.559056793565012e+18,2022-08-15 05:58:00+00:00,['1559056793565011969'],@samanthamaiden Time to resign &amp; pay us back for every cent he’s earned since the day after the election.,time resign amp pay back every cent earned since day election,time resign pay cent day election 
247,247,1.5590533306973184e+18,2022-08-15 05:44:14+00:00,['1559053330697318401'],@RandaltsRandal Nooo. Hope you’re feeling better.,nooo hope youre feeling better,youre feeling 
252,252,1.55879066955221e+18,2022-08-14 12:20:31+00:00,['1558790669552209920'],@Utopiana Fabulous! I bloody love Berlin.,fabulous bloody love berlin,bloody love berlin 
254,254,1.5587469428047544e+18,2022-08-14 09:26:45+00:00,['1558746942804754434'],@realztricky @Utopiana You’re funny.,youre funny,youre funny 
255,255,1.5587468440037048e+18,2022-08-14 09:26:22+00:00,['1558746844003704833'],@EvaWiseman Beautifully written and terribly familiar. You and your family are in my thoughts.,beautifully written terribly familiar family thought,family 
256,256,1.5587252112684687e+18,2022-08-14 08:00:24+00:00,['1558725211268468741'],"@sandyosullivan Condolences, Sandy. Take care.",condolence sandy take care,condolence care 
260,260,1.5586849426613494e+18,2022-08-14 05:20:23+00:00,['1558684942661349377'],@gliderdrew Sadly it'll pop up again. It's like whack-a-mole with those accounts.,sadly it'll pop like whackamole account,whackamole account 
261,261,1.558684648317735e+18,2022-08-14 05:19:13+00:00,['1558684648317734912'],"@more_contentpls Thanks!  I'll do that. And if we're giving advice, why don't you find evidence before you accuse people of being child abusers?  You know, because that's quite important.  More important than your feelings.  Bye!",thanks i'll we're giving advice find evidence accuse people child abuser know that's quite important important feeling bye,advice evidence accuse feeling bye 
262,262,1.5586837171444204e+18,2022-08-14 05:15:31+00:00,['1558683717144420353'],"@more_contentpls Okay, sweetie.  This has been fun.",okay sweetie fun,sweetie fun 
263,263,1.558683055144837e+18,2022-08-14 05:12:53+00:00,['1558683055144837120'],"@more_contentpls Sweetie, I don't even have children.  You do understand how Twitter works, right?  You post your opinions, other people comment on them.  That's how it works.  Don't want feedback?  Don't quote someone's tweet.",sweetie even child understand twitter work right post opinion people comment that's work want feedback quote someone's tweet,twitter work opinion work feedback someone tweet 
264,264,1.5586821724368443e+18,2022-08-14 05:09:23+00:00,['1558682172436844544'],"@more_contentpls Nope, still your personal opinion.  Alright, whatever. Still not child abuse.",nope still personal opinion alright whatever still child abuse,nope opinion abuse 
265,265,1.558680940255146e+18,2022-08-14 05:04:29+00:00,['1558680940255145984'],"@more_contentpls You're not stating a fact.  You're giving your personal opinion.  You've given no supporting evidence. Honestly, it's not that hard to work out the difference.",stating fact giving personal opinion given supporting evidence honestly hard work difference,fact opinion evidence work difference 
