id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,nouns
1.5030447335176397e+18,2022-03-13 16:26:04+00:00,['1503044733517639691'],"@alportfc @goddarddidz Very fair and honest review .. the game was great to watch, just wish the end result had been in Alport’s favour. But everyone should feel proud of their efforts.",,fair honest review game great watch wish end result alports favour everyone feel proud effort,True,review game watch end result everyone feel effort 
1.501716249793147e+18,2022-03-10 00:27:09+00:00,['1501716249793146880'],"@HarrietSergeant It’s strange,watching the daily horrors I have thought about that too..after drivers licence, and passport .. Photos of my family .. really just do not know.. my precious tortoise..what to do with him? Thank the lord it is not me .. not today anyway x",,strangewatching daily horror thought tooafter driver licence passport photo family really know precious tortoisewhat thank lord today anyway,True,horror licence passport family thank lord today 
1.5008914851469517e+18,2022-03-07 17:49:49+00:00,['1500891485146951684'],@salliegeorge @RememberSaffie @BBCPanorama @8pm @JudithMoritz @robwood65 So heartbreak 💔,,heartbreak,True,heartbreak 
1.5006371169797284e+18,2022-03-07 00:59:03+00:00,['1500637116979728384'],@MarcCorbishley It’s a row counter for knitting,,row counter knitting,True,row counter 
1.5006227769814098e+18,2022-03-07 00:02:04+00:00,['1500622776981409792'],Such a lovely song .. give it a listen ❤️ https://t.co/r0m6wZSprx,,lovely song give listen,True,listen 
1.500617245315289e+18,2022-03-06 23:40:06+00:00,['1500617245315289090'],@Alport18s @MDTFC @ShropshireFA Fan bloody tastic !!,,fan bloody tastic,True,fan bloody 
1.5005970122527908e+18,2022-03-06 22:19:42+00:00,['1500597012252790785'],@RachLpoll Beautiful song..xx,,beautiful songxx,True,songxx 
1.5002641133348905e+18,2022-03-06 00:16:52+00:00,['1500264113334890504'],"@mariabrostrom @lhermoso_ @RobBurl Yes, of course, his father will also devastated.",,yes course father also devastated,True,course father 
1.5002512038753526e+18,2022-03-05 23:25:34+00:00,['1500251203875352576'],"@lhermoso_ @RobBurl It’s so painful to watch, but we must bear witness to this horror. His poor mum now has to live with the reality of pain from the loss her precious baby boy. Heartbroken for her. Xx",,painful watch must bear witness horror poor mum live reality pain loss precious baby boy heartbroken,True,watch horror reality pain loss baby boy heartbroken 
1.500249003413418e+18,2022-03-05 23:16:50+00:00,['1500249003413417984'],@gypzeeblue @RobBurl Sick to the pit of my stomach .. hearing the painful cries of his poor mum .. god bless little man .. ❤️,,sick pit stomach hearing painful cry poor mum god bless little man,True,pit stomach cry god bless man 
1.500247567971541e+18,2022-03-05 23:11:08+00:00,['1500247567971540998'],@haynesdeborah @AP God bless little man xx ❤️,,god bless little man,True,god bless man 
1.500224344261288e+18,2022-03-05 21:38:51+00:00,['1500224344261287937'],@OxfordOwl59 @adamlambert @ITV It was Frankie,,frankie,True,frankie 
1.5001606373302436e+18,2022-03-05 17:25:42+00:00,['1500160637330243598'],"🌎 Mar 5, 2022 🌍 Today's guesses: 6 Current streak: 1 Average guesses: 14.33 https://t.co/uqcDYnYWag",,mar today's guess current streak average guess,True,mar today guess average guess 
1.4997030046305034e+18,2022-03-04 11:07:14+00:00,['1499703004630503429'],@RumRanger1 Beautiful ❤️,,beautiful,True,beautiful 
1.4996976040027791e+18,2022-03-04 10:45:46+00:00,['1499697604002779139'],@CliveMyrieBBC The beauty in this photograph belies the reality of what is happening there. Heartbreaking.,,beauty photograph belies reality happening heartbreaking,True,beauty photograph reality 
1.4996947229395558e+18,2022-03-04 10:34:19+00:00,['1499694722939555841'],"@BowenBBC @BBCNews @BBCWorld Heartbreaking. Praying he can be reunited with his wife and beloved son safely, very soon. ❤️",,heartbreaking praying reunited wife beloved son safely soon,True,wife son 
1.499694151012651e+18,2022-03-04 10:32:03+00:00,['1499694151012651011'],"@HaslemereNorman @NadineDorries @bbclysedoucet I listened to Lyse Desert Island Disc choices a few weeks go. Her kindness and caring for others even extends to her choice in music. She just seems so lovely, inside and out.",,listened lyse desert island disc choice week kindness caring others even extends choice music seems lovely inside,True,desert island disc choice week kindness choice music 
1.4995528512233595e+18,2022-03-04 01:10:34+00:00,['1499552851223359490'],@FrankMooreB2BW @Natures_Voice @wildlife_uk @NatureUK @Britnatureguide Beautiful,,beautiful,True,beautiful 
1.4994905571015885e+18,2022-03-03 21:03:02+00:00,['1499490557101588484'],@ToddleBornWild You were bloody amazing !!,,bloody amazing,True,bloody 
1.4994749688238817e+18,2022-03-03 20:01:06+00:00,['1499474968823881734'],"@Helen5Wood You’ll love it ., enjoy every minute..time is precious, waste it wisely xx",,youll love enjoy every minutetime precious waste wisely,True,love enjoy minutetime waste 
1.4993217806993818e+18,2022-03-03 09:52:23+00:00,['1499321780699381760'],"@MartinSLewis Thank you for making donating easy, and secure x and for all the hard work you and your team do, to bring us information about how to make the cost of living more bearable xx",,thank making donating easy secure hard work team bring information make cost living bearable,True,thank work team information make cost living 
1.499182542532092e+18,2022-03-03 00:39:06+00:00,['1499182542532091904'],@bbclysedoucet Hope you’re all ok .. xx,,hope youre,True,hope youre 
1.4989673824039936e+18,2022-03-02 10:24:08+00:00,['1498967382403993602'],"@Rachael_Swindon There is no justification for this. Sad angry and brutal adults are making children to grow up in their sad, angry and brutal world. And so it continues.. What is to become of us all..",,justification sad angry brutal adult making child grow sad angry brutal world continues become,True,justification adult world 
1.49896361847339e+18,2022-03-02 10:09:10+00:00,['1498963618473390083'],"@FlasherReverend @Cpt_Ales @GBNEWS Not convenient, or comforting. As my dad, who fought in a war, would say ‘there are only losers in ANY war.. but those brave people, on either side, who stand up, show how appalled they are by the brutality of aggressors will ALWAYS be counted’.",,convenient comforting dad fought war would say loser war brave people either side stand show appalled brutality aggressor always counted,True,convenient war war stand show brutality aggressor 
